Country,Country_Code,Population
Aruba,ABW,102393
Andorra,AND,79316
Afghanistan,AFG,29726803
Angola,AGO,22685632
Albania,ALB,2900489
Arab World,ARB,368914383
United Arab Emirates,ARE,8952542
Argentina,ARG,42095224
Armenia,ARM,2978339
American Samoa,ASM,55227
Antigua and Barbuda,ATG,89069
Australia,AUS,22728254
Austria,AUT,8429991
Azerbaijan,AZE,9295784
Burundi,BDI,10124572
Belgium,BEL,11128246
Benin,BEN,10049792
Burkina Faso,BFA,16590813
Bangladesh,BGD,155257387
Bulgaria,BGR,7305888
Bahrain,BHR,1333577
"Bahamas, The",BHS,372388
Bosnia and Herzegovina,BIH,3828419
Belarus,BLR,9464000
Belize,BLZ,336707
Bermuda,BMU,64798
Bolivia,BOL,10238762
Brazil,BRA,202401584
Barbados,BRB,281580
Brunei Darussalam,BRN,405512
Bhutan,BTN,743711
Botswana,BWA,2132822
Central African Republic,CAF,4619500
Canada,CAN,34754312
Central Europe and the Baltics,CEB,103935318
Switzerland,CHE,7996861
Channel Islands,CHI,161336
Chile,CHL,17388437
China,CHN,1350695000
Cote d'Ivoire,CIV,21102641
Cameroon,CMR,21659488
"Congo, Rep.",COG,4286188
Colombia,COL,46881018
Comoros,COM,733661
Cabo Verde,CPV,500870
Costa Rica,CRI,4654148
Caribbean small states,CSS,6937108
Cuba,CUB,11342631
Curacao,CUW,152088
Cayman Islands,CYM,57522
Cyprus,CYP,1129303
Czech Republic,CZE,10510785
Germany,DEU,80425823
Djibouti,DJI,853069
Dominica,DMA,71685
Denmark,DNK,5591572
Dominican Republic,DOM,10155036
Algeria,DZA,37439427
East Asia & Pacific (developing only),EAP,1991746941
East Asia & Pacific (all income levels),EAS,2233889396
Europe & Central Asia (developing only),ECA,260544871
Europe & Central Asia (all income levels),ECS,894962840
Ecuador,ECU,15419493
"Egypt, Arab Rep.",EGY,85660902
Euro area,EMU,336189482
Eritrea,ERI,4892233
Spain,ESP,46773055
Estonia,EST,1322696
Ethiopia,ETH,92191211
European Union,EUU,505126520
Fragile and conflict affected situations,FCS,450703885
Finland,FIN,5413971
Fiji,FJI,874158
France,FRA,65639975
Faeroe Islands,FRO,48393
"Micronesia, Fed. Sts.",FSM,103516
Gabon,GAB,1613489
United Kingdom,GBR,63700300
Georgia,GEO,4490700
Ghana,GHA,25544565
